Word,Average Box Office Revenue ($)
despicable,970800000.0
hobbit:,956000000.0
armies,956000000.0
drift,877000000.0
continental,877000000.0
superman:,872700000.0
justice,872700000.0
batman,872700000.0
v,872700000.0
twilight,829700000.0
saga:,829700000.0
breaking,829700000.0
furious,788700000.0
6,788700000.0
fast,788700000.0
deadpool,782600000.0
amazing,757900000.0
spider-man,757900000.0
1,755400000.0
past,747900000.0
future,747900000.0
europe's,746900000.0
3:,746900000.0
–,730200000.0
pets,724900000.0
captain,714400000.0
winter,714400000.0
america:,714400000.0
soldier,714400000.0
apes,710600000.0
mockingjay,704400000.0
games:,704400000.0
hunger,701066666.6666666
games,694400000.0
mission:,682300000.0
nation,682300000.0
rogue,682300000.0
interstellar,675100000.0
steel,668000000.0
x-men:,646250000.0
suicide,636700000.0
martian,630200000.0
ice,622650000.0
age:,622650000.0
how,621500000.0
train,621500000.0
your,621500000.0
dawn,615275000.0
pi,609000000.0
croods,587200000.0
madagascar,559950000.0
mermaid,553800000.0
sniper,547400000.0
apocalypse,544600000.0
z,540000000.0
revenant,533000000.0
godzilla,529000000.0
part,523120000.0
kung,519900000.0
fu,519900000.0
panda,519900000.0
ant-man,519400000.0
rio,500100000.0
turtles,493300000.0
five,491050000.0
battle,486250000.0
life,477900000.0
lego,469200000.0
lucy,463400000.0
les,441800000.0
misérables,441800000.0
genisys,440600000.0
terminator,440600000.0
warcraft,433500000.0
impossible,431300000.0
django,425400000.0
unchained,425400000.0
transylvania,415700000.0
wolverine,414800000.0
service,414400000.0
kingsman:,414400000.0
days,412500000.0
rim,411000000.0
pacific,411000000.0
prometheus,403400000.0
huntsman,396600000.0
planet,392600000.0
wanted,391550000.0
experience,389900000.0
raiders,389900000.0
lost,389900000.0
ark:,389900000.0
imax,389900000.0
men,389500000.0
hunt,385200000.0
ted,383050000.0
resurgence,382300000.0
independence,382300000.0
day:,382300000.0
max:,378400000.0
mad,378400000.0
taken,376100000.0
retaliation,375700000.0
joe:,375700000.0
g.i.,375700000.0
penguins,373000000.0
squad,370950000.0
dragon,370750000.0
tomorrow,370500000.0
edge,370500000.0
gone,369300000.0
course,368300000.0
collision,368300000.0
ninja,367900000.0
mutant,367900000.0
teenage,367900000.0
3,365775000.0
museum:,363200000.0
tomb,363200000.0
noah,362600000.0
iii,362000000.0
hangover,362000000.0
tarzan,352700000.0
gatsby,351000000.0
great,351000000.0
dr.,348800000.0
lorax,348800000.0
seuss',348800000.0
jason,347900000.0
smurfs,347500000.0
birds,346900000.0
angry,346900000.0
world,342800000.0
me,340850000.0
an,337600000.0
300:,337600000.0
empire,337600000.0
see,336300000.0
mysterious,335300000.0
island,335300000.0
22,331300000.0
maze,330300000.0
movie:,323400000.0
spongebob,323400000.0
sponge,323400000.0
rise,322250000.0
conjuring,318750000.0
trials,312300000.0
runner:,312300000.0
scorch,312300000.0
bourne,312000000.0
fault,307200000.0
stars,307200000.0
guardians,306900000.0
road,306600000.0
wrath,305300000.0
titans,305300000.0
die,304700000.0
battleship,303000000.0
white,300800000.0
insurgent,297300000.0
fury,295100000.0
secret,291616666.6666667
oblivion,286200000.0
elysium,286100000.0
black,284100000.0
turbo,282600000.0
2,279789285.71428573
legacy,276100000.0
sherman,275700000.0
peabody,275700000.0
mr.,275700000.0
lincoln,275300000.0
cloudy,274300000.0
meatballs,274300000.0
chance,274300000.0
epic,268399999.99999997
jump,266400000.0
street,266400000.0
most,265033333.33333334
annabelle,256899999.99999997
expendables,255800000.0
divergent,255133333.33333334
of,251878260.86956522
movie,249340000.0
grown,247000000.0
ups,247000000.0
peanuts,246200000.0
hotel,245800000.0
pixels,244900000.0
shadows,244000000.0
after,243800000.0
star,243000000.0
trek,243000000.0
robocop,242700000.0
turtles:,242500000.0
daddy's,240400000.0
evil:,240200000.0
resident,240200000.0
retribution,240200000.0
monster,239150000.0
series:,238250000.0
silver,236400000.0
linings,236400000.0
playbook,236400000.0
spy,235700000.0
reunion,235000000.0
chip,234800000.0
alvin,234800000.0
chipmunks:,234800000.0
&,233660000.0
imitation,233600000.0
argo,232300000.0
snow,230535000.0
heat,229900000.0
you,227525000.0
now,226500000.0
hansel,226300000.0
hunters,226300000.0
gretel:,226300000.0
non-stop,222800000.0
2:,221600000.0
reacher,218300000.0
ghostbusters,217500000.0
untold,217100000.0
dracula,217100000.0
intelligence,212200000.0
central,212200000.0
journey,212100000.0
home,211300000.0
hard,208250000.0
safe,208100000.0
legend,207000000.0
need,203300000.0
speed,203300000.0
american,202925000.0
monsters,202200000.0
jackson:,202200000.0
percy,202200000.0
compton,201600000.0
outta,201600000.0
straight,201600000.0
21,201500000.0
pitch,201250000.0
total,198500000.0
recall,198500000.0
other,196700000.0
doraemon,196400000.0
london,195700000.0
intern,194600000.0
equalizer,192300000.0
top,191450000.0
neighbors,189300000.0
runner,189150000.0
at,185350000.0
mirror,183000000.0
gun,179900000.0
dictator,179400000.0
allegiant,179200000.0
fallen,178350000.0
has,178350000.0
water,177100000.0
jack,176900000.0
butler,176600000.0
looper,176500000.0
out,175575000.0
budapest,174800000.0
grand,174800000.0
identity,174000000.0
thief,174000000.0
creed,173600000.0
dumber,169800000.0
dumb,169800000.0
four,168000000.0
fantastic,168000000.0
the,166282419.3548387
bridge,165500000.0
spies,165500000.0
huntsman:,164600000.0
war,164000000.0
unbroken,163400000.0
to,162762500.0
flight,161800000.0
storm,161700000.0
into,161700000.0
olympus,161000000.0
our,157900000.0
means,156500000.0
hateful,155800000.0
eight,155800000.0
monuments,155000000.0
3d,152100000.0
goosebumps,150200000.0
mama,146400000.0
egypt,145700000.0
gods,145700000.0
arrietty,145600000.0
4,142800000.0
activity,142800000.0
ride,139350000.0
along,139350000.0
cops,138200000.0
let's,138200000.0
be,138200000.0
chapter,137450000.0
insidious:,137450000.0
witch,135700000.0
shadow,135500000.0
ryan:,135500000.0
recruit,135500000.0
annie,133800000.00000001
point,133699999.99999999
break,133699999.99999999
short,133300000.00000001
thirty,132800000.00000001
zero,132800000.00000001
spirit,132600000.0
vengeance,132600000.0
rider:,132600000.0
guns,131900000.0
game,131850000.0
good,131533333.33333333
atlas,130500000.0
cloud,130500000.0
pan,128400000.0
hunter,128400000.0
blended,128000000.0
girl,126767500.0
chronicle,126600000.0
night,124450000.0
house,124300000.0
bad,124200000.0
theory,123700000.0
everything,123700000.0
misfits,123000000.0
pirates!,123000000.0
band,123000000.0
stand,122350000.0
prisoners,122100000.0
earth,121233333.33333333
job,120900000.0
nut,120900000.0
blade,120000000.0
guidance,119800000.0
parental,119800000.0
perfect,118300000.0
pompeii,117800000.0
man,117433333.33333333
dark,117292500.0
warm,117000000.0
abraham,116400000.0
lincoln:,116400000.0
springs,114300000.0
hope,114300000.0
seventh,114200000.0
best,111400000.0
marigold,111400000.0
exotic,111400000.0
wave,110700000.0
5th,110700000.0
paranormal,110450000.0
u.n.c.l.e.,109800000.0
boxtrolls,109300000.0
woman,108925000.0
10,108300000.0
cloverfield,108300000.0
lane,108300000.0
rising,107900000.0
sorority,107900000.0
horrible,107700000.0
bosses,107700000.0
blart:,107600000.0
cop,107600000.0
mall,107600000.0
paul,107600000.0
paranorman,107100000.0
shaun,106000000.0
sheep,106000000.0
election,105600000.0
purge:,105600000.0
ghost,105350000.0
gangster,105200000.0
sisters,105000000.0
vacation,104900000.0
campaign,104900000.0
ouija,103600000.0
in,103168750.0
transcendence,103000000.0
x,102700000.0
chappie,102100000.0
devil,101800000.0
inside,101800000.0
beyond,101533333.33333333
real,101300000.0
joy,101100000.0
tammy,100500000.0
riddick,100300000.0
by,99850000.0
mass,99800000.0
sea,99800000.0
book,99800000.0
lucky,99400000.0
day,98725000.0
visit,98500000.0
this,98075000.0
winter's,97850000.0
blue,97500000.0
42,97500000.0
jasmine,97500000.0
think,96100000.0
poltergeist,95400000.0
for,95225000.0
heart,93900000.0
shallows,93200000.0
internship,93000000.0
evil,92700000.0
southpaw,92000000.0
instruments:,90600000.0
mortal,90600000.0
city,90600000.0
bones,90600000.0
purge,89300000.0
with,88950000.0
greek,88900000.0
fat,88900000.0
hundred-foot,88900000.0
spotlight,88300000.0
and,87976428.57142857
before,87900000.0
deliver,87900000.0
from,86475000.0
gain,86200000.0
pain,86200000.0
step,86200000.0
up:,86200000.0
wick,86000000.0
john,86000000.0
paper,85500000.0
towns,85500000.0
sicario,84900000.0
expect,84400000.0
judge,84400000.0
expecting,84400000.0
wedding,84350000.0
savages,83000000.0
agent,82300000.0
47,82300000.0
hitman:,82300000.0
red,82200000.0
ringer,79800000.0
if,78900000.0
stay,78900000.0
boss,78600000.0
possession,78500000.0
scary,78400000.0
5,78400000.0
family,78400000.0
r.i.p.d.,78300000.0
dimension,78100000.0
activity:,78100000.0
grey,77300000.0
wimpy,77100000.0
dog,77100000.0
diary,77100000.0
kid:,77100000.0
peak,74700000.0
crimson,74700000.0
miracles,73600000.0
end,73400000.0
comes,73100000.0
boom,73100000.0
get,72600000.0
transporter,72600000.0
refueled,72600000.0
₪,71413333.33333333
a,70650000.0
moms,70250000.0
lights,70250000.0
13,69400000.0
hours:,69400000.0
soldiers,69400000.0
benghazi,69400000.0
is,69140000.0
mansions,69000000.0
brick,69000000.0
call,68600000.0
direction:,68500000.0
kingdom,68300000.0
moonrise,68300000.0
project,67950000.0
last,67933333.33333333
god,67800000.0
boys,67700000.0
jersey,67700000.0
giver,67000000.0
selma,66800000.0
side,66700000.0
effects,66700000.0
cabin,66500000.0
vampire,65900000.0
adaline,65700000.0
age,65700000.0
sinister,65300000.0
money,65000000.0
crystal,64470000.0
zhong,64470000.0
kui:,64470000.0
danish,64200000.0
unfriended,64099999.99999999
host,63300000.0
big,63150000.0
son,62733333.333333336
brooklyn,62100000.0
gold,61600000.0
krampus,61500000.0
hercules,61300000.0
rush,60650000.0
guy,60300000.0
creatures,60100000.0
beautiful,60100000.0
heaven,59900000.0
ages,59400000.0
bodies,59000000.0
gift,59000000.0
down,58900000.0
tombstones,58800000.0
among,58800000.0
watch,58200000.0
dolphin,57800000.0
snitch,57800000.0
when,57250000.0
us,56266666.666666664
zoolander,56000000.0
you're,55600000.0
barbershop:,55000000.0
cut,55000000.0
room,54850000.0
stooges,54800000.0
st.,54800000.0
three,54800000.0
vincent,54800000.0
deed,54300000.0
like,54250000.0
engagement,53900000.0
five-year,53900000.0
all,53366666.666666664
hill:,52300000.0
revelation,52300000.0
silent,52300000.0
walk,52000000.0
pursuit,51700000.0
hot,51700000.0
one,51450000.0
woods,51250000.0
moonlight,51000000.0
magic,51000000.0
dead,50425000.0
tails,50400000.0
concussion,50300000.0
nightcrawler,50300000.0
entourage,49300000.0
trouble,49000000.0
curve,49000000.0
whiplash,49000000.0
angel,48900000.0
black:,48900000.0
death,48900000.0
parker,48500000.0
nerve,47600000.0
chainsaw,47200000.0
texas,47200000.0
place,47000000.0
mortdecai,47000000.0
pines,47000000.0
ledge,46200000.0
eagle,46200000.0
eddie,46200000.0
second,46100000.0
world's,46100000.0
risen,46100000.0
chef,46000000.0
my,45550000.0
echo,45300000.0
year,44700000.0
boyhood,44500000.0
tale,44450000.0
escape,44100000.0
max,44000000.0
mother's,43800000.0
what,43550000.0
duff,43500000.0
run,43100000.0
god's,43050000.0
not,43050000.0
dogs,42700000.0
haunted,42050000.0
van,41400000.0
lady,41400000.0
ben-hur,41400000.0
flash,41300000.0
where,41300000.0
ricki,41300000.0
leave,41300000.0
coopers,41100000.0
love,41100000.0
next,40900000.0
boy,40850000.0
moment,40500000.0
that,40500000.0
awkward,40500000.0
carol,40300000.0
on,39800000.0
sin,39400000.0
city:,39400000.0
dame,39400000.0
here,39300000.0
effect,38400000.0
lazarus,38400000.0
softly,37900000.0
forest,37600000.0
chernobyl,37200000.0
wild,37200000.0
diaries,37200000.0
ex,36900000.0
machina,36900000.0
due,36900000.0
devil's,36900000.0
burnt,36600000.0
no,36566666.666666664
criminal,35600000.0
deeds,35600000.0
jobs,35150000.0
november,34800000.0
i,34733333.333333336
salmon,34600000.0
alex,34600000.0
yemen,34600000.0
cross,34600000.0
fishing,34600000.0
steve,34400000.0
frankenstein,34200000.0
victor,34200000.0
up,33400000.0
wallflower,33400000.0
perks,33400000.0
being,33400000.0
almanac,33200000.000000004
eye,32799999.999999996
mud,32600000.0
their,32200000.000000004
lockout,32200000.000000004
suffragette,32000000.0
jenkins,31700000.0
foster,31700000.0
florence,31700000.0
rock,31400000.0
premium,31100000.0
diviner,30800000.0
eyes,30750000.0
self/less,30500000.0
tall,30100000.0
stands,30100000.0
"runner,",30000000.0
raven,29700000.0
draft,29500000.0
master,28300000.0
breathe,28300000.0
don't,28300000.0
two,27600000.0
kubo,27600000.0
behind,27600000.0
strings,27600000.0
left,27600000.0
burt,27400000.0
incredible,27400000.0
wonderstone,27400000.0
irrational,27400000.0
ultra,27100000.0
skies,26400000.0
aloha,26300000.0
said,25300000.0
enough,25300000.0
tango,24900000.0
foxtrot,24900000.0
33,24900000.0
whiskey,24900000.0
trance,24300000.0
gunman,24200000.0
wanderlust,24200000.0
race,23500000.0
9,23400000.0
triple,23400000.0
caesar!,22000000.0
"hail,",22000000.0
words,22000000.0
thousand,22000000.0
amy,22000000.0
beasts,21900000.0
bullet,21900000.0
southern,21900000.0
head,21900000.0
free,21200000.0
state,21200000.0
jones,21200000.0
killing,21150000.0
kill,20950000.0
keanu,20700000.0
sky,20450000.0
fists,20300000.0
blackhat,19700000.0
them,19450000.0
bling,19100000.0
nine,19100000.0
ring,19100000.0
drop,18700000.0
sabotage,17500000.0
little,17500000.0
polis,17300000.0
evo,17300000.0
cold,16900000.0
zombies,16399999.999999998
prejudice,16399999.999999998
pride,16399999.999999998
club,16300000.0
single,16300000.0
academy,15400000.0
infiltrator,15200000.0
sleep,15100000.0
ii,15100000.0
exorcism,15100000.0
go,15100000.0
hit,14500000.0
business,14400000.0
woodlawn,14400000.0
unfinished,14400000.0
iron,14200000.0
vatican,13500000.0
tapes,13500000.0
child,13000000.0
44,13000000.0
clank,12800000.0
ratchet,12800000.0
people,12400000.0
friends,12200000.0
kids,12200000.0
violent,12000000.0
getaway,11800000.0
size,11400000.0
fun,11400000.0
frances,11300000.0
ha,11300000.0
interview,11300000.0
darkness,10900000.0
moms',10500000.0
match,10400000.0
light,9750000.0
stop,9500000.0
popstar:,9500000.0
never,9500000.0
stopping,9500000.0
lives,9200000.0
redemption,9140000.0
raid:,9140000.0
dying,9100000.0
earl,9100000.0
collection,8900000.0
brand,8600000.0
crisis,8600000.0
chasing,8300000.000000001
mavericks,8300000.000000001
collins,8199999.999999999
danny,8199999.999999999
trumbo,8199999.999999999
promised,8100000.0
land,8100000.0
mechanic:,7500000.0
resurrection,7500000.0
who,7500000.0
"jeff,",7500000.0
young,7200000.0
messiah,7200000.0
long,7100000.0
spectacular,6900000.0
cesar,6700000.0
chavez,6700000.0
raid,6600000.0
declaration,6500000.0
mother,6200000.0
midnight,6200000.0
special,6200000.0
saul,6200000.0
way,6050000.0
was,5500000.0
wish,5500000.0
sacrifice,5400000.0
truth,5400000.0
pawn,5400000.0
won't,5400000.0
back,5200000.0
so,5000000.0
as,5000000.0
"way,",5000000.0
below,5000000.0
"above,",5000000.0
robot,4900000.0
frank,4900000.0
mustang,4900000.0
90,4800000.0
minutes,4800000.0
batman:,4400000.0
iceman,4400000.0
joke,4400000.0
veronica,3500000.0
mars,3500000.0
kasbah,3400000.0
sweet,3300000.0
romeo,3000000.0
got,3000000.0
jane,3000000.0
juliet,3000000.0
71,2900000.0
identical,2800000.0
serpent,2800000.0
captive,2800000.0
embrace,2800000.0
maisie,2700000.0
knew,2700000.0
saw,2600000.0
messenger,2500000.0
signal,2420000.0
east,2400000.0
jem,2300000.0
holograms,2300000.0
tusk,1900000.0
rams,1740000.0
stone,1700000.0
hands,1700000.0
lazer,1600000.0
team,1600000.0
letters,1600000.0
adventure,1100000.0
balloon,1100000.0
oogieloves,1100000.0
saints,1000000.0
ain't,1000000.0
