Director,Total Gross Profit ($)
Chris Renaud,1823500000.0
Francis Lawrence,1123800000.0
Zack Snyder,1065700000.0
Steve Martino,929200000.0
Bryan Singer,914500000.0
Phil Lord,802500000.0
Ridley Scott,795600000.0
James Wan,734400000.0
Tim Miller,724600000.0
Bill Condon,709700000.0
Steven Spielberg,707700000.0
Peter Jackson,706000000.0
Christopher McQuarrie,690600000.0
Justin Lin,686700000.0
Genndy Tartakovsky,666400000.0
Seth MacFarlane,647100000.0
David Ayer,629100000.0
Eric Darnell,601900000.0
Gary Ross,587600000.0
Wes Ball,565600000.0
Anthony Russo,544400000.0
Marc Webb,527900000.0
Jonathan Liebesman,523600000.0
Christopher Nolan,510100000.0
Clint Eastwood,497700000.0
Stephen Chow,493080000.0
Ang Lee,489000000.0
Dean DeBlois,476500000.0
Matt Reeves,475600000.0
Luc Besson,471800000.0
Chris Sanders,452200000.0
Quentin Tarantino,437200000.0
Paul Feig,431100000.0
Tom Hooper,430000000.0
Barry Sonnenfeld,398100000.0
Alejandro G. Iñárritu,398000000.0
Carlos Saldanha,397100000.0
Peyton Reed,389400000.0
Jennifer Yuh Nelson,374900000.0
Gareth Edwards,369000000.0
Marc Forster,350000000.0
Nicholas Stoller,349500000.0
Tony Scott,341800000.0
Olivier Megaton,333100000.0
Raman Hui,329200000.0
Matthew Vaughn,320400000.0
David Fincher,308300000.0
Tim Story,297800000.0
James Mangold,294800000.0
Josh Boone,294200000.0
Shawn Levy,292700000.0
Antoine Fuqua,290300000.0
Alan Taylor,285600000.0
Louis Leterrier,276700000.0
Clay Kaytis,273900000.0
Duncan Jones,273500000.0
Roland Emmerich,272300000.0
Mike Thurmeier,263300000.0
Todd Phillips,261700000.0
Jaume Collet-Serra,259100000.0
Elizabeth Banks,258100000.0
David O. Russell,256500000.0
Brad Peyton,256300000.0
Tim Johnson,251000000.0
John R. Leonetti,250399999.99999997
Paul Tibbitt,249400000.0
Baz Luhrmann,246000000.0
Jon Chu,245700000.0
Raja Gosnell,242500000.0
Simon J. Smith,241000000.0
Guillermo del Toro,240700000.0
Darren Aronofsky,237600000.0
George Miller,228400000.0
Jon M. Chu,228200000.0
Paul Greengrass,227900000.0
Noam Murro,227600000.0
Rupert Sanders,226600000.0
Neill Blomkamp,224200000.0
Sean Anders,222100000.0
Morten Tyldum,219600000.0
Paul W. S. Anderson,213000000.0
John Moore,212700000.0
M. Night Shyamalan,207300000.0
Simon West,205400000.0
Robert Schwentke,204800000.0
Wes Anderson,204100000.0
Neil Burger,203900000.0
John Madden,202800000.0
Cody Cameron,196300000.0
Doug Liman,192500000.0
Ben Affleck,187800000.0
Jon Hurwitz,185000000.0
James DeMonaco,181900000.0
Tommy Wirkola,176300000.0
Thea Sharrock,176200000.0
Chris Wedge,175399999.99999997
Jason Moore,173400000.0
David Yates,172700000.0
Dennis Dugan,167000000.0
Joseph Kosinski,166200000.0
Josh Trank,162600000.0
Andy Fickman,162400000.0
Rawson Marshall Thurber,162200000.0
Peter Ramsey,161900000.0
Takashi Yamazaki,161400000.0
Nick Cassavetes,156700000.0
David Soren,155600000.0
William Brent Bell,155000000.0
F. Gary Gray,151600000.0
Tony Gilroy,151100000.0
Nancy Meyers,150600000.0
Gary Shore,147100000.0
Robert Zemeckis,147000000.0
Lee Daniels,146600000.0
Rian Johnson,146500000.0
Walt Becker,144800000.0
José Padilha,142700000.0
Dave Green,139800000.0
Seth Gordon,139000000.0
Scott Waugh,138300000.0
Ariel Schulman,137800000.0
Babak Najafi,135700000.0
Juan Antonio Bayona,135300000.0
Ryan Coogler,133600000.0
Scott Derrickson,132600000.0
Andres Muschietti,131400000.0
Denis Villeneuve,131000000.0
Rob Minkoff,130700000.0
Woody Allen,130100000.0
Ben Falcone,130100000.0
Gary Rydstrom,122600000.0
Luke Greenfield,121200000.0
David F. Sandberg,121000000.0
Peter Farrelly,119800000.0
Frank Coraci,119100000.0
Patrick Hughes,116200000.0
Chris Columbus,115900000.0
Kirk Jones,115300000.0
Tim Burton,114800000.0
Larry Charles,114400000.0
James Watkins,113500000.0
Thor Freudenthal,112200000.0
Steven Quale,111700000.0
Jonathan Levine,109400000.0
James Marsh,108700000.0
Adam McKay,105300000.00000001
Jon Lucas,104200000.0
Tarsem Singh,102500000.0
Leigh Whannell,102000000.0
Fede Alvarez,98900000.0
Stiles White,98600000.0
Evan Goldberg,94000000.0
Camille Delamarre,93600000.0
Malcolm D. Lee,93400000.0
Dan Trachtenberg,93300000.0
Kathryn Bigelow,92800000.00000001
Angelina Jolie,91700000.0
McG,91500000.0
Nima Nourizadeh,89800000.0
Randall Wallace,89300000.0
Lasse Hallström,87100000.0
Daniel Espinosa,86100000.0
George Clooney,85000000.0
Michael Bay,84600000.0
David Frankel,84300000.0
Peter Berg,83000000.0
Mark Burton,81000000.0
Harold Cronk,79100000.0
Peter Lepeniotis,78100000.0
Michael Tiddes,77600000.0
Mark Neveldine,76100000.0
Jake Schreier,75900000.0
J Blakeson,75700000.0
Kenneth Branagh,75500000.0
Scott Hicks,74400000.0
John Francis Daley,73900000.0
Len Wiseman,73500000.0
Etan Cohen,71800000.0
Baltasar Kormákur,70900000.0
Alex Kendrick,70700000.0
Will Gluck,68800000.00000001
Tom McCarthy,68300000.0
Gregory Plotkin,68100000.0
Peter Lord,68000000.0
R. J. Cutler,67900000.0
Rob Letterman,66200000.0
Jodie Foster,66100000.0
Chad Stahelski,66000000.0
Ole Bornedal,64500000.0
Dean Parisot,64100000.0
Levan Gabriadze,63099999.99999999
Gil Kenan,60400000.0
David Twohy,60300000.0
Patricia Riggen,59500000.0
Morgan Spurlock,58500000.0
Brian Helgeland,57500000.0
Jeremy Garelick,56800000.0
Brad Anderson,55600000.0
David Bowers,55100000.0
Daniel Lee,55000000.0
Joel Edgerton,54000000.0
Joe Carnahan,52300000.0
John Crowley,51100000.0
Simon Curtis,50600000.0
Breck Eisner,50400000.0
S. Shankar,50000000.0
Jorge R. Gutierrez,49800000.0
Cedric Nicolas-Troyan,49600000.0
John Erick Dowdle,49400000.0
Anthony Stacchi,49300000.0
Aleksander Bach,47300000.0
Chris Butler,47100000.0
Ava DuVernay,46800000.0
Scott Cooper,46800000.0
Michael Dougherty,46500000.0
Ron Howard,46100000.0
Christopher Spencer,45800000.0
Damien Chazelle,45700000.0
Ciaran Foy,42900000.0
Ric Roman Waugh,42800000.0
David M. Rosenthal,42300000.0
Phillip Noyce,42000000.0
Theodore Melfi,41800000.0
Dan Gilroy,41800000.0
Trish Sie,41200000.0
Sam Miller,41100000.0
Lee Toland Krieger,40700000.0
Richard Linklater,40500000.0
Oliver Stone,38000000.0
Jean-Marc Vallée,37500000.0
Robert Eggers,37400000.0
Steven Soderbergh,36700000.0
Drew Goddard,36500000.0
Bradley Parker,36200000.0
Nicholas Hytner,35400000.0
David Gelb,35100000.0
Ari Sandel,35000000.0
Jon Favreau,35000000.0
Guy Ritchie,34800000.0
Cal Brunker,34600000.0
Peter Pau,34470000.0
David Dobkin,34400000.0
Tom Harper,33900000.0
Tom Gormican,32500000.0
Michael J. Bassett,32300000.0
Derek Cianfrance,32000000.0
Scott Frank,30800000.0
Harald Zwart,30600000.0
Ruben Fleischer,30200000.0
Tyler Perry,29900000.0
Matt Bettinelli-Olpin,29900000.0
Ericson Core,28699999.999999985
Todd Haynes,28500000.0
Ken Kwapis,28000000.0
Jason Zada,27600000.0
Henry Joost,27600000.0
John Luessenhop,27200000.0
Edgar Wright,26100000.0
Kevin Reynolds,26100000.0
Adam Wingard,25800000.0
Bobby Farrelly,24800000.0
Boaz Yakin,24000000.0
Joshua Michael Stern,23900000.0
Andrew Niccol,23300000.0
Jonathan Demme,23300000.0
Dexter Fletcher,23200000.0
Lenny Abrahamson,23000000.0
Andrew Dominik,22900000.0
Scott Charles Stewart,22900000.0
Alex Garland,21900000.0
Charles Martin Smith,21800000.0
Dean Israelite,21200000.000000004
Anton Corbijn,21200000.0
Stephen Chbosky,20400000.0
Benh Zeitlin,20100000.0
Roger Donaldson,19800000.0
Gavin Hood,19799999.999999996
Sergei Bodrov,19200000.0
Garry Marshall,18800000.0
Asif Kapadia,18600000.0
Stephen Hopkins,18500000.0
Sarah Gavron,18000000.0
Nicole Holofcener,17300000.0
Jessie Nelson,17100000.0
Anne Fletcher,16700000.0
John Wells,16600000.0
Thomas Carter,15100000.0
Ghaz Abu Bakar,14900000.0
Chris Rock,14100000.0
Taylor Hackford,13500000.0
Billy Ray,12700000.000000004
Stephen Frears,12700000.0
Dax Shepard,12500000.0
James Mather,12200000.000000004
Vic Armstrong,11600000.0
Sofia Coppola,11100000.0
Jeff Nichols,10800000.0
Doug Ellin,10300000.0
Gareth Evans,10140000.0
Ed Gass-Donnelly,10100000.0
Danny Boyle,8700000.0
Noah Baumbach,8300000.0
Russell Crowe,8300000.0
Gina Prince-Bythewood,7600000.0
Greg McLean,6900000.0
Michaël R. Roskam,6100000.0
Ben Stiller,6000000.0
Alex Proyas,5700000.0
Peter Atencio,5700000.0
Andrew Erwin and Jon Erwin,5500000.0
Bille Woodruff,5400000.0
Valérie Donzelli,5000000.0
László Nemes,4700000.0
Ivan Reitman,4500000.0
James Ponsoldt,4400000.0
Asger Leth,4200000.0
James McTeigue,3700000.0
Deniz Gamze Ergüven,3600000.0
John Hillcoat,3400000.0
Tate Taylor,3400000.0
Kim Ji-woon,3300000.0
Jay Roach,3099999.999999999
Wally Pfister,3000000.0
Jennifer Westfeldt,2200000.0
Anna Muylaert,2200000.0
Tom Tykwer,2000000.0
The Erwin Brothers,1400000.0
Ciro Guerra,1400000.0
Alfonso Gomez-Rejon,1100000.0
Sam Liu,900000.0
Jerry Jameson,800000.0
Timo Vuorensola,600000.0
William Riead,600000.0
RZA,300000.0
Akiva Schaffer,300000.0
Richard LaGravenese,100000.0
Jay Duplass,0.0
Joel and Ethan Coen,0.0
Nat Faxon,0.0
Grímur Hákonarson,-10000.0
Michael Polish,-200000.0
Rob Cohen,-400000.0
Zach Braff,-500000.0
Bruno Podalydès,-500000.0
Matt Hullum,-800000.0
Kevin Smith,-1100000.0
Marcus Dunstan,-1100000.0
Ariel Vromen,-1500000.0
William Eubank,-1580000.0
Dan Fogelman,-1800000.000000001
Ryuhei Kitamura,-1900000.0
Scott McGehee,-2300000.0
Rob Thomas,-2500000.0
Michael Cuesta,-2500000.0
Alejandro Gómez Monteverde,-2500000.0
Josh Schwartz,-2600000.0
David Lowery,-3000000.0
Julie Anne Robinson,-3100000.0
Mabrouk El Mechri,-3100000.0
Diego Luna,-3300000.0
Benson Lee,-3500000.0
Alex Kurtzman,-3600000.0
Paul Thomas Anderson,-3700000.0
Zal Batmanglij,-4100000.0
James Vanderbilt,-4200000.0
Yann Demange,-5200000.0
Paul McGuigan,-5800000.0
Courtney Solomon,-6200000.0
Don Scardino,-6600000.0
Peter Landesman,-6700000.0
Rowan Joffé,-6900000.0
Gus Van Sant,-6900000.0
Jerrica Cleland,-7200000.0
Anthony Hemingway,-7600000.0
J. C. Chandor,-8000000.0
Renny Harlin,-8700000.0
Glenn Ficarra,-10100000.0
Marc Abraham ,-10400000.0
Jorma Taccone,-10500000.0
David Wain,-10800000.0
Robert Lorenz,-11000000.0
Cyrus Nowrasteh,-11300000.0
Barry Levinson,-11600000.0
Burr Steers,-11600000.000000002
Curtis Hanson,-11700000.0
Niels Arden Oplev,-11900000.0
Carlo Carlei,-12000000.0
Dustin Marcellino,-13200000.0
Ed Zwick,-13600000.0
Daniel Barnz,-13600000.0
Mark Waters,-14600000.0
Pascal Chaumeil,-15600000.0
Adam Shankman,-15600000.0
Pierre Morel,-15800000.0
Dan Bradley,-16900000.0
David Koepp,-16900000.0
Angelo Pizzo,-17800000.0
Brian Robbins,-18000000.0
Jonathan Jakubowicz,-18300000.0
Matthew Diamond,-18900000.0
David Gordon Green,-19400000.0
Ken Scott,-20600000.0
Joe Wright,-21600000.0
Gavin O'Connor,-22000000.0
Frank Miller,-25600000.0
Cameron Crowe,-25700000.0
Akiva Goldsman,-28900000.0
Brad Furman,-32300000.0
Travis Knight,-32400000.0
Dennis Gansel,-32500000.0
Seth Rogen,-32700000.0
Walter Hill,-33100000.0
Timur Bekmambetov,-41700000.0
Michael Mann,-50300000.0
